MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Score,Free Kick,Duel,Pass,Others on the ball,Foul,Goalkeeper leaving line,Offside,Save attempt,Shot,Substitution,Interruption,Goal kick,Air duel,Throw in,Head pass,Ground loose ball duel,Simple pass,Launch,High pass,Touch,Ground defending duel,Hand pass,Ground attacking duel,Free kick cross,Smart pass,Cross,Corner,Clearance,Acceleration,Reflexes,Late card foul,Simulation,Free kick shot,Protest,Hand foul,Penalty,Violent Foul,Whistle,Out of game foul,Ball out of the field,Time lost foul,PassStatus,DuelStatus,OpponentFree Kick,OpponentDuel,OpponentPass,OpponentOthers on the ball,OpponentFoul,OpponentGoalkeeper leaving line,OpponentOffside,OpponentSave attempt,OpponentShot,OpponentSubstitution,OpponentInterruption,OpponentGoal kick,OpponentAir duel,OpponentThrow in,OpponentHead pass,OpponentGround loose ball duel,OpponentSimple pass,OpponentLaunch,OpponentHigh pass,OpponentTouch,OpponentGround defending duel,OpponentHand pass,OpponentGround attacking duel,OpponentFree kick cross,OpponentSmart pass,OpponentCross,OpponentCorner,OpponentClearance,OpponentAcceleration,OpponentReflexes,OpponentLate card foul,OpponentSimulation,OpponentFree kick shot,OpponentProtest,OpponentHand foul,OpponentPenalty,OpponentViolent Foul,OpponentWhistle,OpponentOut of game foul,OpponentBall out of the field,OpponentTime lost foul,OpponentPassStatus,OpponentDuelStatus
11,Opponent11,win,3,2,home,2,1,50,268,285,57,13,5,5,3,8,3,0,16,62,21,28,60,184,24,35,43,89,1,57,6,6,7,2,13,1,1,0,0,0,0,0,1,0,0,0,0,0,183,119,65,260,442,74,12,1,1,5,10,3,0,4,62,38,32,58,309,26,35,61,54,5,86,1,11,24,5,8,5,5,0,0,0,0,0,1,0,0,0,0,0,317,143
12,Opponent12,tie,2,2,away,2,0,42,248,240,67,26,2,1,7,7,3,1,10,38,18,25,40,162,19,25,33,115,0,55,2,1,8,4,28,6,4,0,0,0,1,0,1,0,1,0,0,0,132,95,74,240,510,56,9,0,1,5,14,2,0,3,37,38,26,38,400,13,33,43,51,1,114,7,17,20,9,9,4,4,0,0,1,0,0,0,0,0,0,0,0,426,149
13,Opponent13,loss,1,4,away,2,-3,37,216,303,75,13,1,0,7,5,3,0,12,57,17,25,32,222,13,34,54,74,4,53,0,0,5,2,12,9,6,0,0,0,0,0,0,0,0,0,0,0,247,102,52,225,657,96,6,1,0,2,15,3,0,4,59,29,28,34,527,12,44,81,55,3,77,3,16,27,7,9,6,0,0,0,0,0,0,0,0,0,0,0,0,504,118
14,Opponent14,win,4,0,home,2,4,35,265,412,67,17,4,2,2,6,3,0,6,66,21,21,44,319,19,38,37,96,1,59,2,2,12,2,23,7,1,1,0,0,0,0,1,0,0,0,0,0,347,148,51,234,486,38,6,1,1,5,5,3,0,4,66,28,32,34,363,18,37,24,47,3,87,4,7,26,6,9,5,4,0,0,0,0,0,1,0,0,0,0,0,347,91
15,Opponent15,win,2,0,home,3,2,51,284,346,59,12,2,1,2,6,3,0,11,86,31,33,60,247,23,22,36,69,4,69,3,10,7,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,271,133,52,191,378,60,9,3,0,4,4,2,0,4,62,31,37,35,257,19,42,33,37,2,57,3,2,19,5,22,5,3,0,0,0,0,0,0,0,0,0,0,0,224,89
16,Opponent16,tie,1,1,away,3,0,40,213,159,79,11,2,0,4,1,3,0,20,39,10,18,45,87,16,28,45,91,2,38,2,5,3,1,32,2,1,0,0,0,0,1,1,0,0,0,0,0,80,82,54,200,728,71,8,2,1,2,24,3,0,5,38,30,35,44,592,11,40,57,32,5,86,2,9,36,12,3,11,1,0,0,1,0,1,0,0,0,0,0,0,605,122
17,Opponent17,win,1,0,away,3,1,36,234,406,70,11,3,3,4,7,3,0,5,69,22,35,45,299,29,34,33,63,3,57,1,1,5,1,32,5,2,0,0,0,0,0,0,0,0,1,0,0,304,106,64,241,451,58,10,0,2,4,13,3,0,7,70,41,28,47,337,29,28,46,50,2,74,5,7,20,4,8,4,4,0,0,1,0,1,0,0,0,0,0,0,362,129
18,Opponent18,win,3,1,home,3,2,46,202,415,47,11,0,1,3,10,3,0,7,42,23,33,26,317,16,37,30,69,1,65,2,3,8,6,15,2,1,0,0,0,0,0,2,0,0,0,0,0,312,110,47,181,390,58,14,1,0,7,7,3,0,7,42,28,24,27,316,14,25,41,47,1,65,1,1,9,3,13,4,4,1,0,1,0,1,0,0,0,1,0,0,302,85
19,Opponent3,tie,0,0,home,3,0,30,240,320,97,8,2,2,7,4,3,0,10,52,11,34,55,216,29,23,64,90,4,43,1,5,9,2,30,3,7,0,0,0,0,1,0,0,0,0,0,0,248,99,48,174,678,67,4,1,4,0,24,3,0,8,38,26,29,45,556,8,31,54,28,6,63,0,12,36,7,7,6,0,0,0,1,0,1,0,0,0,0,0,0,498,88
20,Opponent19,tie,0,0,away,3,0,61,236,324,82,13,7,1,2,5,3,0,14,76,31,27,39,210,9,49,51,67,10,54,6,2,17,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,230,118,54,210,364,50,14,1,1,3,13,3,0,7,71,24,44,31,217,12,45,38,45,4,63,3,5,37,10,11,1,2,0,0,1,0,0,0,0,0,0,0,0,230,105
21,Opponent6,loss,1,2,away,3,-1,38,262,461,62,12,1,5,7,7,3,0,11,68,18,30,52,332,31,41,45,98,5,44,1,8,14,4,13,4,6,0,0,0,0,1,0,0,0,0,0,0,366,129,50,224,384,57,7,0,0,1,17,3,0,9,64,24,44,42,273,12,29,34,36,5,82,3,6,15,4,15,8,1,0,0,0,0,1,0,0,0,0,0,0,204,100
22,Opponent5,loss,0,2,home,3,-2,38,216,353,77,11,0,1,6,10,3,0,9,39,14,34,42,252,10,28,60,54,6,81,5,2,21,6,15,2,2,0,0,0,0,1,0,0,0,0,0,0,239,114,48,211,562,83,11,3,1,0,21,3,0,7,38,27,21,36,475,9,22,56,77,2,60,2,21,12,6,12,15,0,0,0,0,0,0,0,1,0,0,0,0,476,100
23,Opponent4,loss,0,4,away,3,-4,37,239,343,63,15,2,7,10,5,3,0,6,48,18,23,38,223,19,59,45,88,4,65,2,7,8,3,18,0,8,0,0,0,0,0,0,0,0,0,0,0,236,107,52,230,549,75,11,1,2,0,20,3,0,4,46,25,29,43,445,9,27,61,54,4,87,2,17,18,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,473,128
24,Opponent19,tie,1,1,home,3,0,53,317,462,59,16,0,0,5,8,3,0,15,65,29,46,67,335,26,29,35,106,4,79,4,8,14,0,17,7,2,1,0,0,0,1,0,0,0,0,0,0,320,152,55,275,317,60,11,2,0,4,15,3,1,7,55,31,48,62,187,27,37,45,67,2,91,3,3,13,3,11,4,2,0,0,0,0,1,0,0,0,0,1,0,186,144
25,Opponent10,win,2,1,home,3,1,46,216,331,93,10,2,3,2,11,3,0,6,50,25,35,51,208,18,43,49,60,8,55,4,7,12,5,35,9,2,0,0,0,0,1,0,0,0,0,0,0,249,106,61,176,431,52,10,5,0,4,6,3,0,9,41,37,39,37,309,10,45,42,44,5,54,1,4,19,5,8,2,2,0,0,0,0,1,1,0,0,0,0,0,273,77
26,Opponent9,loss,1,5,away,3,-4,43,211,355,50,8,1,3,7,11,3,1,3,48,26,15,34,262,7,41,27,54,3,75,7,6,21,6,19,4,6,0,0,0,0,0,0,0,0,0,1,0,287,111,34,192,523,84,8,4,1,2,14,3,0,9,43,13,20,29,445,8,27,61,68,4,52,1,10,9,4,17,6,1,0,0,1,0,0,0,0,0,0,0,0,423,87
27,Opponent12,win,3,1,home,3,2,52,208,373,61,14,1,2,4,8,3,0,8,47,22,26,42,283,6,36,40,60,1,59,1,5,16,8,16,5,2,0,0,2,0,2,0,0,0,0,0,0,283,110,52,226,317,61,15,2,1,5,13,0,0,2,45,28,25,44,225,10,27,39,64,2,73,2,10,18,7,17,5,4,0,0,0,0,0,1,0,0,0,0,0,220,107
28,Opponent11,loss,0,1,away,3,-1,53,266,334,91,10,2,1,5,4,3,0,6,65,33,38,49,215,13,41,58,83,2,69,6,4,21,5,29,4,4,0,0,0,0,0,0,0,0,0,0,0,238,141,48,261,392,61,12,1,0,3,12,3,0,5,56,27,37,42,283,20,29,37,75,1,88,1,7,15,6,15,9,2,0,0,1,0,1,0,0,0,0,0,2,260,117
29,Opponent7,loss,1,2,away,3,-1,46,268,325,74,11,0,1,10,10,3,0,5,75,26,45,55,211,24,26,41,64,0,74,3,3,16,4,22,11,6,0,0,0,0,0,0,0,0,0,0,0,220,139,63,226,395,56,9,5,3,4,21,1,0,7,59,36,39,44,257,27,38,42,68,5,55,2,8,21,10,7,7,4,0,0,0,0,0,0,0,0,0,0,0,255,97
30,Opponent8,win,2,0,home,3,2,58,239,404,53,10,1,2,4,12,3,0,8,54,26,39,51,295,13,31,30,51,0,83,6,7,19,10,12,11,1,0,0,0,0,0,1,0,0,0,0,0,312,121,44,200,281,71,14,3,1,5,10,3,0,13,43,16,35,43,191,15,21,40,69,4,45,2,4,11,3,24,7,4,0,0,0,0,0,0,0,0,0,0,0,172,85
31,Opponent1,win,2,1,away,3,1,43,190,430,68,11,1,3,4,15,3,0,4,36,20,27,31,323,13,34,51,59,5,64,2,10,18,9,10,7,1,0,0,1,0,1,0,0,0,0,0,0,329,92,30,195,301,66,13,0,0,9,10,2,0,10,36,7,27,33,209,24,22,42,65,0,61,4,6,13,1,19,5,5,0,0,0,0,1,0,0,0,0,0,0,215,96
32,Opponent2,loss,1,3,home,3,-2,41,129,182,43,9,0,2,5,5,3,0,15,26,14,12,26,111,14,30,25,44,1,33,2,2,12,2,18,0,4,0,0,1,0,0,0,0,0,0,0,0,109,56,41,155,940,98,8,1,3,3,18,3,0,6,34,14,24,32,849,1,28,84,37,3,52,0,12,23,11,9,5,0,0,0,0,0,1,0,0,0,0,0,0,877,85
33,Opponent16,tie,0,0,home,3,0,47,227,315,93,12,1,4,4,6,3,0,11,69,27,30,48,217,17,34,63,75,1,35,0,3,13,3,25,5,3,0,0,0,0,0,0,0,0,0,0,0,207,106,51,212,543,79,7,1,1,1,10,3,0,7,63,29,37,45,428,16,31,57,34,3,70,2,15,13,2,17,5,0,0,0,1,0,0,0,0,0,0,0,0,446,103
34,Opponent18,tie,1,1,away,3,0,38,230,405,61,11,2,0,6,10,3,0,6,71,19,23,33,302,19,40,23,58,6,68,5,3,12,3,27,11,5,0,0,1,0,0,0,0,0,0,0,0,336,123,52,222,430,52,10,1,1,4,15,2,0,10,65,27,38,33,312,16,37,40,66,4,58,3,1,22,6,5,7,3,0,0,0,0,0,0,0,0,0,0,0,293,98
35,Opponent17,win,1,0,home,3,1,48,242,469,79,10,1,4,2,7,3,0,9,60,24,34,53,352,13,41,58,62,9,67,6,6,14,4,13,8,2,0,0,0,0,0,0,0,0,0,0,0,347,98,50,270,360,73,12,2,1,1,8,3,0,5,65,26,34,60,229,9,49,52,73,4,72,3,17,18,6,17,4,1,0,0,1,0,1,0,0,0,1,0,0,240,157
36,Opponent15,win,2,0,away,3,2,44,234,408,77,8,2,3,1,6,3,0,9,48,23,39,44,278,29,39,45,65,6,77,1,10,7,3,22,10,0,0,0,0,0,0,0,0,0,0,0,0,302,120,60,200,452,82,10,0,1,4,9,3,0,7,51,40,35,29,345,12,36,59,58,5,62,1,2,17,4,15,8,2,1,0,0,0,0,0,0,0,0,0,0,298,100
37,Opponent13,tie,1,1,home,3,0,52,268,388,66,14,0,2,5,6,3,0,8,66,26,26,45,289,16,29,37,76,4,81,6,3,21,3,17,12,3,0,0,1,0,1,0,0,0,1,0,0,293,135,47,223,331,48,13,6,4,2,8,3,0,9,55,21,30,36,236,11,35,23,70,2,62,0,8,9,4,14,11,1,0,0,2,1,0,0,0,0,0,0,0,246,99
38,Opponent14,loss,1,3,away,3,-2,35,160,341,47,12,0,1,4,13,3,0,7,34,11,30,25,255,8,31,31,57,2,44,4,8,7,6,16,0,3,0,0,0,0,0,0,0,0,0,0,0,275,85,34,170,448,55,10,1,5,8,15,3,0,6,39,11,22,26,362,15,26,31,44,3,61,1,7,13,6,9,15,5,0,0,1,0,0,0,0,0,0,0,0,355,75
